Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO,H2 Concentration Relative to CO,H2O Concentration Relative to CO
316.0945,4.6402483705404824,-0.048319819987586485,9.793897104927565,-15.430755992000948,0.11919161715616869,0.1258286957252622,1.3480805681307633,0.7486247084258251,0.31110537031377433
316.9155,4.4017994882412745,-0.025015802586495443,9.008684800443426,-13.312372288190124,0.13062601703629384,0.13008716131357886,1.2172234364745946,0.7438744542102921,0.313247273111841
317.8137,4.641323114289576,-0.05077203851768404,9.793569459448833,-15.425319739900651,0.11809895447870636,0.12849919453612332,1.344276606908788,0.7436838508528693,0.31009080580921977
318.7274,4.456782955796165,-0.02920061085304649,9.291546090080658,-14.050184083654127,0.12590438789848976,0.12899549651183292,1.268593138913071,0.7427885707326961,0.31091706595434404
319.6357,4.491265248935937,-0.03757192543935262,9.255021966057404,-13.98514436252329,0.13078547628365242,0.12967557694522266,1.2458618470336806,0.7369732357062735,0.309108328527353
320.5994,4.369171719832918,-0.018995853885177452,9.108411138694256,-13.525780794695587,0.130389355365393,0.12849489042010404,1.23934378510435,0.7386616544539205,0.31062958658938844
321.5463,4.3693221025770566,-0.02187862581951748,8.724547233303522,-12.555835267195285,0.13621493898142067,0.13073191188475392,1.1398000513844972,0.7383816704755372,0.3091888415417177
322.4296,4.382124617874867,-0.021209002092993406,9.289709177323882,-13.976872868643806,0.12867639300052577,0.12737641540742708,1.2747007145718185,0.7389420027078729,0.3130519619819128
323.2877,4.292673003270587,-0.01485579679091282,8.544444430913112,-12.062488120806057,0.1391138102955011,0.1323663155664824,1.1129691681188074,0.7402249772113411,0.3107827612423723
324.243,4.462485284731629,-0.03387900318093511,9.674979042409907,-14.988902454697326,0.1231008573702806,0.12745443893385,1.3450286131399802,0.7382636759567859,0.31198259294847064
325.1588,4.237455983618519,-0.015414279790924782,8.379904136666603,-11.621382562165063,0.13938002962851676,0.1343457283400169,1.0867600286738455,0.7319349509683445,0.31040358467931567
325.9729,4.538948860672389,-0.04232782272944542,9.841474116857265,-15.461671562866139,0.11667886346672056,0.1289665069291193,1.3637709367772388,0.7304933393827127,0.31115649454549943
326.988,4.181911110649836,-0.009622586029881188,7.9627091122399305,-10.55313529285518,0.141907116897831,0.13716094212943158,0.996061242037842,0.7254111700071212,0.31129495507233457
327.9767,4.468867423588563,-0.03535425849980693,9.29064962122189,-14.044782841483206,0.11743744639413475,0.13083475672125272,1.2439221562756964,0.7244426201359674,0.3106673611864248
328.9191,4.1192059588556855,-0.0025911219014975702,7.734686093418252,-9.943935101103053,0.13852221149078286,0.13659369974210636,0.9563411080597559,0.726153582739457,0.31124454534365015
329.7811,4.374643342309234,-0.027446349059622538,8.807562633385839,-12.774521104817888,0.12170078289562454,0.131126025818285,1.1492914744432017,0.7281394603446827,0.3100341958615967
330.7101,4.07120335016251,-0.0004390739841756917,7.82038085865163,-10.11935144600648,0.14407742894306352,0.13544688564291849,0.9878654257538534,0.7274747619876976,0.31193771243747875
331.6006,4.137731393074711,-0.006606101045409241,7.892490297681108,-10.355537181859201,0.14347798041310128,0.1365187793654722,0.9873463042652143,0.7245391832719885,0.3115768152665585
332.3866,4.162849780693488,-0.005077745802556868,7.909100464150266,-10.414977167782446,0.1421265214051012,0.1356628158845728,0.9832860710519571,0.727207931521796,0.3114406200074662
333.2748,4.246162120810642,-0.015817002724721266,8.005614866016675,-10.716429409882826,0.1400331766538424,0.13670044211036222,0.9843726892934966,0.7247449911521993,0.310621230620917
334.3528,4.183642768182242,-0.004465343332640319,7.837165463973763,-10.256549754710573,0.13537244562586453,0.13687219100871129,0.9616000100434964,0.7231578797974505,0.31367982452414134
335.2274,4.185628723560213,-0.007086983172282576,7.93390654177625,-10.485535584806346,0.13220800142842293,0.13774600026811631,0.9838932320031671,0.7245182200902947,0.31423656425320734
336.0344,4.163428261018929,-0.004491959075918653,7.788727470624893,-10.112302333459649,0.13770867507710463,0.13788952972131077,0.9536978614837203,0.7262239706506826,0.31371214623550175
336.9167,4.086339604277818,0.002533980211223626,7.294540047186435,-8.82552058072919,0.14647709339385256,0.14093377764795226,0.8508276880617422,0.7282631087840894,0.313586528134175
337.7206,4.240774314452617,-0.011766705556742363,8.494035801065566,-11.895049864512686,0.1291885526575421,0.13552506362497624,1.1018600081147825,0.730153991719461,0.3168910827109414
338.5039,4.142935695931899,-0.001085728587694621,7.659174074807512,-9.753166935958475,0.14516666732701636,0.13712415431625435,0.9241049520779874,0.729172410689944,0.3156047612802571
339.3588,4.152079824506128,-0.005129205943457859,8.057866084012414,-10.7546122021226,0.14123855984615727,0.1348471843328764,1.01825160864381,0.7296705238304383,0.3179089214955667
340.3698,4.011181671612911,0.010860238349575346,7.220313805536647,-8.568843848479032,0.15739156874319518,0.13631605096813804,0.8475918761566551,0.7234509431597347,0.3164545354708389
341.2752,4.149910985854867,-0.004281848313209016,8.16941396264015,-11.028818864509201,0.14240509808849489,0.13072367659580128,1.0423597415184138,0.7222512623417845,0.31868984103413117
342.1232,4.046522140765502,0.006654104687057895,7.541922613543978,-9.384145896769896,0.14970770639860326,0.1313166806587158,0.9127963409312088,0.7183102900052463,0.31844671949659503
343.0,4.140597928216858,-0.005799867958845265,8.237339555567775,-11.1828262860663,0.14332493107933864,0.12962217211861085,1.0548415597358995,0.7214147689146969,0.32004739905553525
343.9384,3.940249173345646,0.015666978184151793,7.277116689532845,-8.65014702619932,0.15345626039613958,0.13233382015845285,0.8707091125447174,0.7206158845148497,0.32161233328876077
344.8516,4.2625462391069675,-0.021222919989666182,8.734424067876617,-12.4868517080674,0.13665775949113879,0.12798339513681306,1.1403316869136273,0.722095608223988,0.32000305647418664
345.8684,4.13684955240737,-0.004455650594397239,8.109580199095495,-10.836520624626154,0.1384325185821162,0.13100145991926562,1.0195622519740661,0.7176241240698947,0.3230785843605709
346.7389,4.039019937461024,0.00807615910661657,7.409415978866211,-9.020166126840165,0.15160251421499446,0.12935731945100928,0.8717684880126864,0.7170129296963816,0.32233629052872986
347.3993,3.927502259350943,0.017705665012511782,7.181367404580965,-8.381881888530351,0.15905688407958632,0.1308390212158431,0.8445500297219495,0.7147285992867978,0.32370650795513184
348.4194,4.028186181149043,0.012096600973398288,7.1702720452701865,-8.429083832283135,0.15479999871474368,0.12967775400234288,0.8106445171940847,0.7124164250153739,0.3206177542645122
349.3052,3.8871832814969944,0.029613332407510237,6.930153505887205,-7.724005551443637,0.15334222184636095,0.12932595851022563,0.7877684501983704,0.7092233997089402,0.3236756737105601
350.241,3.8842742281101548,0.0248622235302665,6.8967308884365695,-7.646599903737113,0.1597751662589084,0.12970315327679713,0.7799120303157713,0.7105730340200261,0.322693019040266
351.1516,4.005232875319297,0.00861082223516209,7.576417868201565,-9.416239954326873,0.14537742782489316,0.13020596938943685,0.9121701676535612,0.7091564580175554,0.3230715991337196
351.9202,3.9432104186505166,0.015219495509511917,7.0157668431588975,-7.973357612319051,0.15133573095261374,0.13337801515007583,0.7898410394011063,0.7077900746599728,0.32214497898908884
352.802,4.027679627012476,0.012503141945326111,7.376554908573381,-8.921044530499444,0.14187594833416917,0.13051842847706002,0.8565481226409468,0.710712186274432,0.3234113645516705
353.7159,4.03185071451332,0.008036703632965709,7.415641019593153,-9.035828069514366,0.1439181287369134,0.132266966973773,0.8661502211903495,0.7138326367948109,0.3242612312351725
354.7101,4.135559335340369,0.0021986513396964644,7.936188366374585,-10.399754406027878,0.13496372195931647,0.13100364579184876,0.9645249987165573,0.7174715407792437,0.3254260192542454
