Source:,NIST, NIST, NIST
5.000000000000000000e+01,6.700670067006701203e+00,5.000500050005000752e+00,2.682268226822682422e+01
5.100000000000000000e+01,5.980598059805981137e+00,4.000400040004000957e+00,2.532253225322532231e+01
5.200000000000000000e+01,2.130213021302130194e+00,2.000200020002000478e+00,1.141114111411141252e+01
5.300000000000000000e+01,1.350135013501350123e+01,3.000300030003000273e+00,7.086708670867086823e+01
5.400000000000000000e+01,9.130913091309130536e+00,1.000100010001000239e+00,9.519951995199519956e+01
5.500000000000000000e+01,8.700870087008700793e+00,5.000500050005000752e+00,4.300430043004300984e+00
5.600000000000000000e+01,4.600460046004600789e-01,0.000000000000000000e+00,1.000100010001000184e-01
5.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+01,3.240324032403240295e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000000e+01,3.400340034003400680e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00
6.800000000000000000e+01,3.200320032003200477e-01,5.000500050005000752e+00,0.000000000000000000e+00
6.900000000000000000e+01,1.810181018101810313e+00,6.500650065006500711e+01,0.000000000000000000e+00
7.000000000000000000e+01,1.380138013801380126e+00,8.200820082008200984e+01,0.000000000000000000e+00
7.100000000000000000e+01,6.960696069606960634e+00,8.000800080008001913e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.559255925592559322e+01,1.000100010001000239e+00,0.000000000000000000e+00
7.300000000000000000e+01,1.100110011001100174e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
