Temp,CO Concentration(bar),CO2 Concentration(bar),H2 Concentration(bar)
176.9337,0.03065043975193808,0.015756121475795856,0.008814166751506201
176.8691,0.030654682392379746,0.015772078210199516,0.008813825374012766
176.9353,0.030650334671060257,0.01575572626255983,0.008814175206676317
176.9734,0.03064783243265736,0.01574631524737752,0.008814376545414703
176.9555,0.030649008024977893,0.01575073669545532,0.008814281953199029
176.8202,0.03065789392670789,0.01578415691472496,0.008813566962876095
176.9251,0.030651004561656325,0.01575824574693943,0.008814121304966824
176.8746,0.03065432117686226,0.015770719664700786,0.00881385443866004
177.0054,0.030645730815101108,0.015738410982657384,0.008814545648817024
177.0023,0.030645934409301884,0.015739176708302157,0.008814529266924925
177.0163,0.030645014951621016,0.015735718592487145,0.008814603249663438
177.1247,0.03063866462797011,0.01571313871243984,0.008815265201691251
177.248,0.030635981743822475,0.015712231040817023,0.008816544352815864
177.2921,0.030635022172120028,0.01571190639914162,0.008817001859422479
177.5623,0.030629142891530476,0.0157099173247499,0.008819804995139192
177.7207,0.03060785430787687,0.015618483807022849,0.008816959208425986
177.9972,0.030593444663203528,0.015573984392841272,0.00881771593406354
178.29,0.030596353228447705,0.015661928270570752,0.008824329335678128
178.6543,0.030539353805706267,0.015394651694761582,0.008829999861497604
179.0592,0.03051353400890597,0.015457421848025048,0.008831705331314926
179.3064,0.030497351983447683,0.015424692664932314,0.008833823314105996
179.7101,0.03042168371915389,0.015094885323459444,0.008823458812858636
180.1774,0.03047413071843664,0.015487246076669871,0.008824041388471243
180.5681,0.030453221250669932,0.015460113884633003,0.008825091227112372
180.8962,0.03036008910272695,0.014913529118220003,0.00883157567666702
181.384,0.030408425499842157,0.01536531300095782,0.008842095543130797
181.8506,0.03034416339860019,0.015028255327166796,0.008826792106968058
182.297,0.03031630912261912,0.014963530178792834,0.008827796086369674
182.8438,0.030386021917735487,0.015413432247752943,0.008803692925436061
183.2631,0.030316492720084402,0.015163962230770604,0.008812794227751814
183.6243,0.03036934856681305,0.01544958024815102,0.008817056293553586
184.0933,0.030317156900581267,0.015335161186007555,0.008827599016776481
184.5898,0.030229631712274677,0.014907115798162408,0.008836324460795231
185.0357,0.03030576979741496,0.015424703095334913,0.008823429520696703
185.4777,0.03027052975572398,0.015052245763969406,0.008841507862748857
185.9069,0.03030566369020104,0.015297955929762155,0.008832570781133064
186.4914,0.030418729446562983,0.01571598089222439,0.008832741329377412
187.0203,0.030441549659122585,0.01557968889376382,0.008812711620419807
187.6229,0.030486330062765056,0.015794609569442203,0.008833946459341605
188.1595,0.0305258363367561,0.015858374477537553,0.008848672449407667
188.6697,0.030565193205873798,0.01603460446515937,0.00885188254068464
189.3571,0.030546212884549964,0.015928336561294776,0.008820148044360243
189.9038,0.030549824028656362,0.0159590475418178,0.008826353840877545
190.5653,0.030608491422030537,0.016047884005053577,0.008829908612929262
191.2235,0.030683187909188555,0.016386880916510842,0.008829957468341025
191.9041,0.0306856868145202,0.016185362601795806,0.00882913951710744
192.46,0.030829327044360474,0.016905514725372908,0.008803009298821753
193.0445,0.030819944155066458,0.016704468558724112,0.008828146081879127
193.7611,0.030815789806137587,0.016461845323359495,0.008829184119022844
194.4817,0.030913819178457664,0.016818014122773402,0.008827967347929087
195.1538,0.030940952319224797,0.016719377191249354,0.008829987051847114
195.7753,0.030983562897971852,0.016767338562596993,0.008836855396432133
196.417,0.031015046925954658,0.016777702017990156,0.00883228210883203
197.0638,0.031050289858786537,0.016863315632307502,0.008829034852244053
197.6513,0.030973881689409587,0.01639866451564572,0.0088410222335812
198.3369,0.030991158595796323,0.01683991089626316,0.008815070987394117
199.1706,0.030784085698129352,0.015906481187546062,0.008856118366987353
199.7659,0.03083908892837688,0.016466773656273744,0.008885028148182117
