Source:,Measured-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected, NISTFake-TuningCorrected
Molecules,Acetaldehyde, (E) 2-Butenal (Crotonaldehyde, Ethylene (Ethene), Ethanol, Crotyl Alcohol, 1butanal
Electron Numbers,24, 38, 16, 26, 40, 40
ionizationEfficiencies,1.4285714285714284, 2.0285714285714285, 1.0857142857142859, 1.5142857142857142, 2.1142857142857143, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,44.0526, 70.0898, 28.0532, 46.0684, 72.1057, 72.11
3.300000000000000000e+01,0.000000000000000000e+00,1.017527872020549173e+00,0.000000000000000000e+00,3.053230994592293079e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233207724727572230e-01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,4.010812227396744589e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.196212798587382053e-01,2.727323230380727659e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.800011395817196203e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.783127658710393248e+00,2.478450679375677979e+00
3.800000000000000000e+01,0.000000000000000000e+00,2.895381139136984672e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.024206658849926477e+01,4.266530032818278251e+00
3.900000000000000000e+01,0.000000000000000000e+00,9.679581491387807546e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.435386621463315748e+01,2.168177975239645505e+01
4.000000000000000000e+01,0.000000000000000000e+00,2.695845080725738541e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.147267210420466199e+00,2.846414505304289744e+00
4.100000000000000000e+01,5.245080104990382353e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.326220245509788009e+00,2.648937577648557351e+01,5.816077623093742233e+01
4.200000000000000000e+01,0.000000000000000000e+00,3.008425547164465996e+01,0.000000000000000000e+00,4.600955251666730028e+00,6.923432726468110587e+00,1.158846170613405313e+01
4.300000000000000000e+01,0.000000000000000000e+00,4.026344720326738624e+00,0.000000000000000000e+00,1.114624647802543045e+01,1.757466241043899657e+01,7.758348044600980131e+01
4.400000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.951012043868203261e-01,4.629560039477326860e+00,1.000000000000000000e+02
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.070482242815009499e+01,1.330480024210911161e+00,3.551576014822551475e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.144689442517755396e+01,0.000000000000000000e+00,4.120387514690714292e-01
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.295450375359437967e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,1.041678142349206304e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.034577817027063973e-01,1.062993268158952814e-01
4.900000000000000000e+01,0.000000000000000000e+00,4.208028431838969574e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.018442333804101541e+00,5.402643916037817018e-01
5.000000000000000000e+01,0.000000000000000000e+00,5.317375389886891845e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.025415597828641889e+00,1.318547014151787211e+00
5.100000000000000000e+01,0.000000000000000000e+00,4.304409940568993953e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.732358877664015750e+00,8.942195631325846605e-01
5.200000000000000000e+01,0.000000000000000000e+00,2.179824753953454319e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.857212291001175020e-01,2.274969219150575761e-01
5.300000000000000000e+01,0.000000000000000000e+00,3.314791242014496930e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.333614389718349003e+00,2.894799113596235429e+00
5.400000000000000000e+01,0.000000000000000000e+00,1.121184870627176311e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.346412374578655147e+00,2.711882991462302606e+00
5.500000000000000000e+01,0.000000000000000000e+00,5.693533183081646243e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.206433489700251549e+00,3.602893073327558593e+00
5.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.260855021528496711e-01,4.894296137000023750e-01
5.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.219517981775599225e+01
5.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.649788222350399014e+00,1.398064830590183938e+00
7.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.041261971145291509e-01,1.718845205468887416e-01
