Mass,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040148994880111324,0.0,0.0
33.0,0.0,0.04008474315312748,0.0,0.0,0.0,0.04254325435132926,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04013930248877305,0.0,0.0
36.0,0.0,0.04011245777683544,0.0,0.0,0.0,0.0,0.04014505960115436,0.0,0.0
37.0,0.0,0.04004179130303612,0.0,0.0,0.0,0.0,0.04007433569243104,0.0,0.0
38.0,0.0,0.03991554991966774,0.0,0.0,0.0,0.0,0.0399479917050431,0.0,0.0
39.0,0.0,0.039751227969458874,0.0,0.0,0.0,0.0,0.03978353620043121,0.0,0.0
40.0,0.0,0.039584727280526,0.0,0.0,0.0,0.0,0.03961690018630235,0.0,0.0
41.0,0.04228701165750791,0.039470839712148924,0.0,0.0,0.0,0.041891698467911576,0.039502920054599516,0.0,0.0
42.0,0.0,0.03948316443475985,0.0,0.0,0.0,0.04190477910078087,0.0395152547942591,0.0,0.0
43.0,0.0,0.03971254627717167,0.0,0.0,0.0,0.04214822958337531,0.03974482306918946,0.0,0.0
44.0,0.04313567228573338,0.0,0.0,0.038871257273625566,0.0,0.04273242553151097,0.04029570657784217,0.0,0.0
45.0,0.0,0.0,0.0,0.03981866174971817,0.0,0.04377393779693277,0.041277828985420296,0.0,0.0
46.0,0.0,0.0,0.0,0.0412839772507439,0.0,0.04538480633887305,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.04766102258732385,0.0,0.0,0.0
48.0,0.0,0.047745190334172107,0.0,0.0,0.0,0.0,0.04778399574260678,0.0,0.0
49.0,0.0,0.0513171083960174,0.0,0.0,0.0,0.0,0.05135881691863624,0.0,0.0
50.0,0.0,0.05563706251114768,0.0,0.0,0.0,0.0,0.05568228212216482,0.0,0.0
51.0,0.0,0.060700070722636,0.0,0.0,0.0,0.0,0.06074940534712737,0.0,0.0
52.0,0.0,0.06648851932439209,0.0,0.0,0.0,0.0,0.0665425585717077,0.0,0.0
53.0,0.0,0.07297830177878767,0.0,0.0,0.0,0.0,0.07303761566543411,0.0,0.0
54.0,0.0,0.08014329965874233,0.0,0.0,0.0,0.0,0.08020843697319835,0.0,0.0
55.0,0.0,0.0879581656897268,0.0,0.0,0.0,0.0,0.08802965461920563,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964781302143076,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10553353179024881,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11517839633181892,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12539792894183685,0.0,0.0
66.0,0.0,0.2120258363298778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.226517458589677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.24152205095929885,0.0,0.0,0.0,0.0,0.24171835056074256,0.0,0.0
69.0,0.0,0.25703694796197,0.0,0.0,0.0,0.0,0.2572458574600504,0.0,0.0
70.0,0.0,0.2730598665805489,0.0,0.0,0.0,0.0,0.2732817988752075,0.0,0.0
71.0,0.0,0.2895888439607176,0.0,0.0,0.0,0.0,0.2898242103565653,0.0,0.0
72.0,0.0,0.30662218622711246,0.0,0.0,0.0,0.0,0.30687139665204516,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32442188950275,0.0,0.0
