Data Point,Time,ethyne,ethene,ethane,1butanal
42,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
42,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
42,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
42,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
43,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
43,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
43,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
43,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
44,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
44,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
44,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
44,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
45,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
45,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
45,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
45,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
46,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
46,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
46,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
46,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
47,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
47,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
47,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
47,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
48,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
48,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
48,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
48,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
49,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
49,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
49,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
49,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
50,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
50,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
50,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
50,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
51,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
51,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
51,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
51,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
52,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
52,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
52,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
52,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
53,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
53,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
53,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
53,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
54,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
54,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
54,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
54,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
55,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
55,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
55,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
55,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
56,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
56,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
56,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
56,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
57,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
57,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
57,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
57,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
58,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
58,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
58,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
58,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
59,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
59,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
59,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
59,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
60,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
60,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
60,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
60,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
61,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
61,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
61,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
61,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
62,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
62,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
62,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
62,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
63,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
63,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
63,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
63,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
64,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
64,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
64,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
64,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
65,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
65,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
65,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
65,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
66,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
66,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
66,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
66,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
